 No Urut,ID,Kategori,Sub kategori,Nama Barang dan Spesifikasi,Satuan,Harga Satuan
13730,1232,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Tips for micropipet Spesifikasi: Volume 2 - 200 ul, 2 x 500 tips, yellow",Pack,1507500
13574,10426,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Rantai Gergaji Mesin? Spesifikasi: Uk. 16 inc,Buah,265200
14022,251951,Tanda Penghargaan Bidang Olahraga,Medali,Medali terbuat dari logam/logam kuningan,Buah,135135
13587,229202,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Pisau End Mill Spesifikasi: Diameter 50 mm,Buah,3072396
13970,880,Tanaman,Tanaman Hias,"Tabebuya kuning (Tabebuia chrysantha) Spesifikasi: Tinggi 400-430 cm, dia batang20-25 cm/ Subur, Bebas dari hama dan penyakit tanaman, Kemasan dalam polybag.",Batang Pohon,3575300
13578,216353,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,"Acetylene Regulator Spesifikasi: Heavy Duty, Delivery Rate : 2-15 Psi",Buah,1408800
13798,225804,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Micropipet adjustable 100-1000 ul Spesifikasi: 2 single-channel, Volume ( 100-1000 ?l ), Single button operation for aspiration, dispensing and tip ejection, Volume lock for secure volume setting",Unit,4640800
13919,247318,Sumber Tenaga,Charger,"Charging Station Spesifikasi: AC380Vñ15% ? Protection Grade: IP55 / IK10 ? Interface: touch screen + card access ? Charging way: Quick or slow charge automatic switch. Nozle CCS2, Include Perijinan dan SLO, Alat Terpasang.",Unit,959352700
13843,253234,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"ep Tips Micropipette Standard, Cat# 0030 000.927, volume 50 - 1000 ul, 71 mm, isi 1000 tips, ex.Eppendorf-Germany",pack,1304884
13884,222749,Suku Cadang Lainnya,Suku Cadang Lainnya - Suku Cadang Lainnya,As Hard Chrome 60 x 1600 mm Spesifikasi: 60 x 1600 mm,Unit,6278300
13507,212861,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Luar Spesifikasi: UK. 80/100-17,Buah,305700
13618,262749,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Lainnya - Suku Cadang Alat Bengkel Lainnya,Hole Saw Spesifikasi : TCT | 14mm,pcs,76636
13911,258784,Suku Cadang Lainnya,Suku Cadang Lainnya - Suku Cadang Lainnya,"Canon Battery Pack LP-E6P | Daya maksimum baterai 6A, Kompatibel untuk EOS R5 Mark II dan kamera Canon lain yang menggunakan baterai seri LP-E6P sebelumnya, Pengisian daya USB melalui Adaptor Daya USB PD-E2 dan PD-E1 (dijual terpisah)",Unit,2160000
13576,214722,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,"Mata Pahat Breaker Spesifikasi: Flat Chisel Breaker/ Jack Hammer ; Ukuran : Panjang Min 400 mm , Material : logam",pcs,1998000
13773,11973,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Botol Media + Tutup Spesifikasi: Spesifikasi : Glass, Grade A, Volume 250 Ml",Buah,110700
13696,225774,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Tht,Laryngoscope Scet Spesifikasi: Fiber Optic Laryngoscope,set,9737800
13995,7627,Tanaman,Tanaman Hias,"Palem Kuning(Chrysalidocarpus Lutescens) Spesifikasi: Tinggi 50-100 Cm, 3 S/D 5 Btg/Rpn",pohon,72000
13602,262637,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Mata Bor Beton Spesifikasi : ukuran M6,pcs,47600
14027,3950,Topi Kerja,Helmet,"Helm Kerja Spesifikasi: Bahan Fiber Glass, Ex. Lokal",Buah,53000
13556,5180,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,"Mata Pisau Potong/ Cut Off Spesifikasi: Metabo Dia. 14""",Buah,115500
13874,236681,Suku Cadang Alat Studio dan Komunikasi,Suku Cadang Alat Studio Dan Komunikasi Lainnya - Suku Cadang Alat Studio Dan Komunikasi Lainnya,Cleaning Kit Kamera : Lens cleaner 30ml 1 botol Microfiber lens cleaning cloth ukuran 15cm x 15cm 5bh Cleaning brush 1bh Portable hurricane air blower 1bh Profesional lens pen 1bh Suede Cloth 1bh wet wipes 10pcs,set,306600
13686,214375,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,Apron Standard Spesifikasi: bahan plastik,Buah,26600
13799,225981,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Umum,Glass Microfibre Filters EPM 2000 Spesifikasi: 100 Lembar/box,Box,10590200
13668,4551,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,Kaca Mulut + Tangkai Spesifikasi: Stainless Steel,Buah,32100
13980,5341,Tanaman,Tanaman Hias,"Tanaman Canna Daun Maroon (Canna sp.) Spesifikasi: Tinggi 20-40 cm , subur, bebas dari hama dan penyakit tanaman, kemasan dalam polybag.",Pot,15700
13503,212852,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Dalam Spesifikasi: Ukuran 750 R15,pcs,273800
13681,11960,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,Bonding Gel Spesifikasi: 51202 Adper Single Bond 2 Refill- EE,pcs,908900
13858,258224,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Botol Reagen 500 ml; bahan kaca bening, dengan tutup ulir biru, dilengkapi pouring ring, ukuran 500 ml",pcs,128839
13511,213233,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Dalam Spesifikasi: UK. 90/100-16,Buah,42600
13812,236058,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Kimia,"Gold Seal, Ultra Inert, w/Washer Brand: AGILEN",pcs,1105400
13872,228291,Suku Cadang Alat Studio dan Komunikasi,Suku Cadang Alat Studio Dan Komunikasi Lainnya - Suku Cadang Alat Studio Dan Komunikasi Lainnya,"MONOPOD HFMP Spesifikasi: Monopod HFMP Monopod dengan Free-Standing BaseFoot-Activated Latch Allows Swivel, TiltSwivel 360 , Tilt 20 Kapasitas beban hingga 8 kgTinggi Maksimal 176 cmTinggi Minimal 73.9 cmTinggi Terlipat 73.4 cm3 Section, Flip LockAluminum-Alloy ConstructionCarry Bag dengan Shoulder Strap",Unit,4727000
13677,8404,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,Plastic filing Spesifikasi: stainless steel,pcs,170800
13746,3939,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,HB Hemoglobin Test Spesifikasi: dus/25 strip,Dus,346100
13965,246840,System/Power Supply,System/Power Supply Lainnya - System/Power Supply Lainnya,"Power Delivery Unit (PDU) Spesifikasi: Monitored Unit Level Vertical 230/400V 16A IEC603091P+N+E 3.0 m ""36 x C13 6 x C19"" Non-Locking",Unit,29367000
13850,253241,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Micropipette, Cat# 3123 000.080, volume 1 - 10 ml, autoclavable, include tips box or sample bag, Systematic error : +/-3.0% (at 1 mL), +/-0.8% (at 5 mL), +/-0.6% (at 10 mL), Random error : +/-0.6% (at 1 mL), +/-0.2 % (at 5 mL), +/-0.15% (at 10 mL), Increment : 0.01 mL, ex.Eppendorf-Germany",pcs,8325273
14025,12191,Ternak Unggas,Ternak Unggas Lainnya - Ternak Unggas Lainnya,"Burung Emprit Spesifikasi: Aman,Sehat,Hidup,Utuh, 1 Ekor = 50 - 100 Gram",Ekor,9100
13915,263700,Suku Cadang Lainnya,Suku Cadang Lainnya - Suku Cadang Lainnya,"Batter For Rescue Tools untuk Cutter Spreader dan Combi Tools Spesifikasi: Komposisi Sel Baterai, Kapasitas Baterai High Capacity: 6000mAh/6.0Ah 28V Lithium Ion Replace Batteries. The new upgraded lithium ion battery can give your tools longer runtime. Kapasitas Baterai 6000 Jam Milliamp",Unit,9000000
13573,10422,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Rantai Gergaji Mesin Spesifikasi: Uk. 20 inc,Buah,327700
13697,228544,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Umum,"Insert for Neonatal Flow Sensor, PSU Spesifikasi: Insert for Neonatal Flow Sensor (Aksesoris) untuk Ventilator Merk Drager Type Babylog VN Series",Pack,5110897
13769,11809,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,Botol reagen Spesifikasi: Bahan kaca dengan tutup asah 250 ml,Buah,99700
13822,242727,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Jaw Faces, Smooth Ground. Lebar 25 mm x tinggi 50 mm (1x1 inci) untuk 2712-04x Pneumatik",set,40300000
13989,7020,Tanaman,Tanaman Hias,"Mawar Merah (Rosa Hybrida) Spesifikasi: Tinggi 30 Cm, Dia Tajuk 15-20 Cm",Pot,90500
13641,4871,Suku Cadang Alat Besar,Suku Cadang Alat Besar Darat,"Collet Ring Assembly/ Nut Spesifikasi: Combination Torch Size1/ 8"" S/ D 3/ 8""",Buah,597800
13958,239500,Suvenir/Cendera Mata,Suvenir/Cendera Mata Lainnya - Suvenir/Cendera Mata Lainnya,"Bunga Mawar, per tangkai, lengkap dengan packaging (plastik/wrapping), untuk souvenir",per Batang,30200
13674,7354,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,Nasal Canul Spesifikasi: Dewasa,pcs,5500
13580,216511,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Busi 2 Tak Mesin Potong Rumput Spesifikasi: Standar BUSI Mesin Potong Rumput,Buah,28700
13863,259054,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Mekanika Tanah Dan Batuan,Kalibrasi Spesifikasi: Inclinometer Portable Sensor ex. Encardio Rite Electronics,Unit,10000000
13897,234189,Suku Cadang Lainnya,Suku Cadang Lainnya - Suku Cadang Lainnya,"Alat ukur Curah Hujan Tipping Bucket, 0,2 MM, akurasi 0-250mm (1%); >250mm(2%)",Unit,15590600
14034,223723,Topi Kerja,Helmet,"Helm Rescue Spesifikasi: Spesifikasi lingkar kepala: 53 - 63 cm. Berat helm: 490 gr. Material: ABS (Acrylonitrile Butadiene Styrene), nylon, polycarbonate, high strength polyester, polyethylene. Sertifikasi: CE, EN 397, EN 12492.",Unit,2204700
13531,257053,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Solid Loader Ukuran 31x10-20,Buah,18693694
13736,1924,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Alat Tes Kit Rhodamin Spesifikasi: Botolan, Untuk Makanan, Untuk 50 Sampel",set,2657300
14012,244506,Tanaman,Tanaman Hias,"Aralia (Osmoxylon lineare). Spesifikasi : Tinggi 15-20 cm, sehat, subur, bebas dari hama dan penyakit tanaman, kemasan dalam polybag.",Pot,6800
13998,10043,Tanaman,Tanaman Hias,"Aglonaema Spesifikasi: Tanaman Hias Berdaun Indah Tinggi 40 Cm, Sehat, Subur, Dalam Pot",Pot,326600
13510,213232,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Luar Spesifikasi: UK. 70/100-19,Buah,202900
14029,3952,Topi Kerja,Helmet,Helm Las Spesifikasi: Auto Dark,Buah,472200
13826,244790,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Laboratorium),Petridish Disposable Plastik Steril 90 mm isi 10 pcs,pack,47800
13605,262665,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Lainnya - Suku Cadang Alat Bengkel Lainnya,"Mata Bor Kunci Socket (Magnet), Spesifikasi : Mata Bor magnetic, Ukuran: 8 x 8 x 48 mm (magnet)",set,202300
13947,217398,Suvenir/Cendera Mata,Suvenir/Cendera Mata Lainnya - Suvenir/Cendera Mata Lainnya,"Goody Bag/Papper Bag Spesifikasi: Bahan Art Karton 310gr, Tema: Menyesuaikan, Ukuran Besar",Buah,111400
13871,2067,Suku Cadang Alat Studio dan Komunikasi,Suku Cadang Alat Studio Dan Komunikasi Lainnya - Suku Cadang Alat Studio Dan Komunikasi Lainnya,Lensa Fix Spesifikasi: FE 85mm F1.8,Unit,8021600
13659,248846,Suku Cadang Alat Besar,Suku Cadang Alat Besar Darat,Ban Luar Tubless Spesifikasi : 505 / 95R CM770,pcs,64388800
13750,6577,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Labu Ukur + Tutup Spesifikasi: Vol 10 Ml, Glass Amber, Germany",pcs,186200
13817,240123,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Kimia,"Blue Tip untuk Mikropipet, 1000 uL, 500 pcs/pk",pack,209100
13577,216345,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Mata Gerinda Poles Spesifikasi: Flap Disc 4 inch,pcs,20200
14036,226573,Topi Kerja,Helmet,"Helmet Spesifikasi: [EN] Composition : Busa : 100.0% Polystyrene (EPS) - Expanded Kain luar : 100.0% Akrilonitril butadiena stiren (ABS) - Stabilitas : Bentuk helm dan penyetel 3D membuatnya tetap stabil. - Dapat disetel : Penyetel 3D untuk mengubah ketinggian dan kedalaman. - Ringan : Ukuran S = 335 g, M = 385 g, L = 445 g. - Ventilasi : 12 ventilasi dengan saluran udara untuk memberi sirkulasi udara. cabor : skateboard",pcs,1151900
13571,8316,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Pisau End Mill Spesifikasi: C275 Diameter 12 mm,Buah,725300
13987,6505,Tanaman,Tanaman Obat,"Kunyit Spesifikasi: Dewasa Tinggi 30 Cm,Sehat,Subur,Bebas H/P,Dalam Polybah Diameter 25 Cm",pohon,25800
13961,258322,Suvenir/Cendera Mata,Suvenir/Cendera Mata Lainnya - Suvenir/Cendera Mata Lainnya,"Lanyard Spesifikasi : Printing digital full color bolak balik, pengait plus stoper, cardholder idcard",Buah,67000
13869,2050,Suku Cadang Alat Studio dan Komunikasi,Suku Cadang Alat Studio Dan Komunikasi Lainnya - Suku Cadang Alat Studio Dan Komunikasi Lainnya,Battery Drone Spesifikasi: Mavic 3 Intelligent Flight Battery,Unit,3708500
13772,11818,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,Bottle Top Dispenser Spesifikasi: Volume 10 - 100 ml Dispensing step : 1 mL,Unit,15308300
13633,2482,Suku Cadang Alat Besar,Suku Cadang Alat Besar Darat,Filer Cooling Tower (CT) Spesifikasi: Tipe SKB-580 R,Pack,40642500
13579,216510,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,"Pisau Mesin Potong Rumput Spesifikasi: Pisau MPR, Dimensi : 305 mm; Ketebalan: 1.6 mm",pcs,112400
13650,222797,Suku Cadang Alat Besar,Suku Cadang Alat Besar Darat,Air Cleaner Spesifikasi: 6H.889.01.0.00,pcs,1190700
13836,248968,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,Centrifuge Spesifikasi : 10 - 15 ml isi 100 pcs,box,242100
13709,247667,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Umum,"Tensimeter Digital Merk : ERKA, Spesifikasi : [ DB0046] Velcro Cuff Greencuff Set Superb Green Single Tube Ukuran 4",pcs,754250
13569,8314,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Pisau End Mill Spesifikasi: Ukuran 16 mm,Buah,659500
13751,6578,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Labu Ukur + Tutup Spesifikasi: Vol 25 Ml, Glass Amber, Germany",pcs,201200
13564,6877,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Lighter Spesifikasi: Triple Flint,Buah,52200
13735,1923,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Alat Tes Kit Formalin Spesifikasi: Botolan, Untuk Makanan, 50 Sampel",set,4264500
13710,247702,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Umum,"Cryo Therapy Merk Zimmer, Spesifikasi : 96.850.320 Glass Keyboard incl. Display Cryo 6",pcs,21000000
13583,224538,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Rantai Gergaji Mesin Spesifikasi: Uk. 12 inc,Buah,193500
13693,224022,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,"Cawan Kuarsa Spesifikasi: Quartz Dish. Dimensi 20 mm x 20,5 mm high",pcs,3870000
13534,259646,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban luar spesifikasi: ukuran 205/65 r16,Buah,1400000
13585,226304,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Mata Pahat Breaker Spesifikasi: Pointed/flat chisel jack hammer/breaker TE HX SM 40/50 ; panjang: 400-500 mm ; material: logam,Unit,3510400
13678,8553,Suku Cadang Alat Kedokteran,Suku Cadang Alat Kedokteran Lainnya - Suku Cadang Alat Kedokteran Lainnya,"Pot Urine Spesifikasi: Pcs, 50 Cc",pcs,1600
13501,212850,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Tubeless Spesifikasi: Ukuran 265/60 R18,pcs,2069500
13512,213234,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Luar TUBELESS Spesifikasi: 195/65 R14,Buah,1021200
13973,883,Tanaman,Tanaman Hias,"Tabebuya Putih (Tabebuia chrysotricha) Spesifikasi: Dia. 15-20 cm atau tinggi ?300 cm, Sehat, Berbunga, Subur, Bebas dari hama dan penyakit tanaman, Kemasan dalam polybag",Batang Pohon,2027200
13523,217781,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Dalam Uk. 11.00-20 TR Spesifikasi: Uk. 11.00-20 TR,Buah,484500
13857,256751,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Bahan Bangunan Konstruksi,"Motor mesin Core Drill Spesifikasi : Mesin penggerak vertikal, termask dudukan mesin, V-Belt",Unit,27027027
13591,233216,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,BAR MESIN GERGAJI UKURAN 20 INCH/50 CM,Buah,697100
13590,233215,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,BAR MESIN GERGAJI UKURAN 16 INCH/40 CM,Unit,588600
13654,228873,Suku Cadang Alat Besar,Suku Cadang Alat Besar Bantu,filter bahan bakar Spesifikasi: filter bahan bakar untuk genset 10 kVA,Buah,239000
13778,212719,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Clear Glass Screw Neck Vial Spesifikasi: Clear Glass 12 x 32 mm, Screw Neck Vial, with Cap and Preslit PTFE/Silicone Septum, 2 mL Volume, 100/pack",Pack,2942700
13638,2513,Suku Cadang Alat Besar,Suku Cadang Alat Besar Darat,"Foot Valve F/ F Dia 4 Spesifikasi: F/ F 302 Pn-10 4""",Buah,2790200
13877,260702,Suku Cadang Alat Studio dan Komunikasi,Suku Cadang Alat Studio Dan Komunikasi Lainnya - Suku Cadang Alat Studio Dan Komunikasi Lainnya,Hard Disk SATA 4TB for CCTV,Unit,2100000
13632,2388,Suku Cadang Alat Besar,Suku Cadang Alat Besar Darat,Expans. Thermost. Valve 100T Spesifikasi: VAL0550E,pcs,35480000
13930,2932,Suvenir/Cendera Mata,Suvenir/Cendera Mata Lainnya - Suvenir/Cendera Mata Lainnya,"GOODIE BAG Spesifikasi: Canvas, Sablon/Print",Buah,71900
13519,213241,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Dalam Spesifikasi: 80/90 R17,pcs,39400
13781,212743,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Stirring Bar 40 Spesifikasi: Magnetic Stirring Bar L 40 m,D 8 mm",pcs,117800
13949,220226,Suvenir/Cendera Mata,Suvenir/Cendera Mata Lainnya - Suvenir/Cendera Mata Lainnya,Pouch Batik Tulis Kombinasi Spesifikasi: Jenis Bahan Kain Primis dan Kulit Sintetis Warna/Corak/Motif Batik Ukuran Bahan 35cm x 25cm,Buah,183300
